time,lat,lon,depth,prochloro_abundance,synecho_abundance
1996-10-24,16.46,-240.08,0.5,NA,1090
1996-11-06,16.38,-240.09,0.5,NA,16870
1996-11-06,16.46,-240.08,0.5,NA,5950
1996-11-12,16.37,-240.05,0.5,NA,12280
1996-11-13,16.348,-240.07,0.5,NA,28640
1996-11-26,16.348,-240.07,0.5,NA,137000
1996-11-26,16.37,-240.05,0.5,NA,28650
1996-11-30,16.46,-240.08,0.5,NA,2990
1996-12-01,16.38,-240.09,0.5,NA,13070
1996-12-16,16.38,-240.09,0.5,NA,5170
1996-12-16,16.46,-240.08,0.5,NA,1090
1996-12-23,16.37,-240.05,0.5,NA,15790
1996-12-24,16.348,-240.07,0.5,NA,17730
1996-12-29,16.46,-240.08,0.5,NA,570
1996-12-31,16.38,-240.09,0.5,NA,740
2003-05-22,-28.793,-25.99,2.7,151000,1021
2003-05-22,-28.793,-25.99,9.7,NA,1127
2003-05-22,-28.793,-25.99,25.2,60752,1194.4
2003-05-22,-28.793,-25.99,49.5,73438,1244.9
2003-05-22,-28.793,-25.99,90.9,52917,132.01
2003-05-22,-28.793,-25.99,124.6,7643,2.82
2003-05-22,-28.793,-25.99,149.6,2910,0
2003-05-22,-28.793,-25.99,199.8,14,0
2003-05-22,-28.793,-25.99,250,63,2.84
2003-05-22,-28.793,-25.99,299.5,0,NA
2003-05-23,-24.879,-25,1.6,NA,553.91
2003-05-23,-24.879,-25,11,153000,530.62
2003-05-23,-24.879,-25,25.9,139000,517.95
2003-05-23,-24.879,-25,51.4,163000,638.32
2003-05-23,-24.879,-25,78.4,124000,392.79
2003-05-23,-24.879,-25,100,54301,30.83
2003-05-23,-24.879,-25,125.3,24479,5.75
2003-05-23,-24.879,-25,150.9,8277,0
2003-05-23,-24.879,-25,175.5,1961,2.82
2003-05-23,-24.879,-25,200.3,1196,0
2003-05-23,-24.879,-25,250.5,272.46,8.09
2003-05-23,-24.879,-25,300.7,82.98,6.15
2003-05-24,-21.629,-25,10.3,137000,368.13
2003-05-24,-21.629,-25,22.3,153000,347.84
2003-05-24,-21.629,-25,60.2,158000,524.81
2003-05-24,-21.629,-25,120.1,103000,151.57
2003-05-24,-21.629,-25,160.1,15779,0
2003-05-24,-21.629,-25,240.5,498.86,0
2003-05-24,-21.629,-25,280.4,51.66,0
2003-05-24,-21.629,-25,300.8,30.42,6.08
