,time,lat,lon,depth,prochloro_abundance,synecho_abundance
111,1996-09-05,16.46,-240.08,0.5,,7530.0
112,1996-09-07,16.348,-240.07,0.5,,2050.0
113,1996-09-08,16.37,-240.05,0.5,,1170.0
114,1996-09-21,16.348,-240.07,0.5,,29320.0
115,1996-09-21,16.37,-240.05,0.5,,24560.0
116,1996-09-22,16.38,-240.09,0.5,,6110.0
117,1996-10-06,16.46,-240.08,0.5,,1620.0
118,1996-10-07,16.38,-240.09,0.5,,9700.0
119,1996-10-08,16.348,-240.07,0.5,,55910.0
120,1996-10-08,16.37,-240.05,0.5,,18130.0
121,1996-10-24,16.348,-240.07,0.5,,15680.0
122,1996-10-24,16.37,-240.05,0.5,,3510.0
123,1996-10-24,16.38,-240.09,0.5,,9490.0
124,1996-10-24,16.46,-240.08,0.5,,1090.0
125,1996-11-06,16.38,-240.09,0.5,,16870.0
126,1996-11-06,16.46,-240.08,0.5,,5950.0
127,1996-11-12,16.37,-240.05,0.5,,12280.0
128,1996-11-13,16.348,-240.07,0.5,,28640.0
129,1996-11-26,16.348,-240.07,0.5,,137000.0
130,1996-11-26,16.37,-240.05,0.5,,28650.0
131,1996-11-30,16.46,-240.08,0.5,,2990.0
132,1996-12-01,16.38,-240.09,0.5,,13070.0
133,1996-12-16,16.38,-240.09,0.5,,5170.0
134,1996-12-16,16.46,-240.08,0.5,,1090.0
135,1996-12-23,16.37,-240.05,0.5,,15790.0
136,1996-12-24,16.348,-240.07,0.5,,17730.0
137,1996-12-29,16.46,-240.08,0.5,,570.0
138,1996-12-31,16.38,-240.09,0.5,,740.0
139,2003-05-22,-28.793000000000003,-25.99,2.7,151000.0,1021.0
140,2003-05-22,-28.793000000000003,-25.99,9.7,,1127.0
141,2003-05-22,-28.793000000000003,-25.99,25.2,60752.0,1194.4
142,2003-05-22,-28.793000000000003,-25.99,49.5,73438.0,1244.9
143,2003-05-22,-28.793000000000003,-25.99,90.9,52917.0,132.01
144,2003-05-22,-28.793000000000003,-25.99,124.6,7643.0,2.82
145,2003-05-22,-28.793000000000003,-25.99,149.6,2910.0,0.0
146,2003-05-22,-28.793000000000003,-25.99,199.8,14.0,0.0
147,2003-05-22,-28.793000000000003,-25.99,250.0,63.0,2.84
148,2003-05-22,-28.793000000000003,-25.99,299.5,0.0,
149,2003-05-23,-24.879,-25.0,1.6,,553.91
150,2003-05-23,-24.879,-25.0,11.0,153000.0,530.62
151,2003-05-23,-24.879,-25.0,25.9,139000.0,517.95
152,2003-05-23,-24.879,-25.0,51.4,163000.0,638.32
153,2003-05-23,-24.879,-25.0,78.4,124000.0,392.79
154,2003-05-23,-24.879,-25.0,100.0,54301.0,30.83
155,2003-05-23,-24.879,-25.0,125.3,24479.0,5.75
156,2003-05-23,-24.879,-25.0,150.9,8277.0,0.0
157,2003-05-23,-24.879,-25.0,175.5,1961.0,2.82
158,2003-05-23,-24.879,-25.0,200.3,1196.0,0.0
159,2003-05-23,-24.879,-25.0,250.5,272.46,8.09
160,2003-05-23,-24.879,-25.0,300.7,82.98,6.15
161,2003-05-24,-21.629,-25.0,10.3,137000.0,368.13
162,2003-05-24,-21.629,-25.0,22.3,153000.0,347.84
163,2003-05-24,-21.629,-25.0,60.2,158000.0,524.81
164,2003-05-24,-21.629,-25.0,120.1,103000.0,151.57
165,2003-05-24,-21.629,-25.0,160.1,15779.0,0.0
166,2003-05-24,-21.629,-25.0,240.5,498.86,0.0
167,2003-05-24,-21.629,-25.0,280.4,51.66,0.0
168,2003-05-24,-21.629,-25.0,300.8,30.42,6.08
169,2003-05-24,-20.494,-24.99,13.2,108000.0,376.78
170,2003-05-24,-20.494,-24.99,52.6,112000.0,578.63
171,2003-05-24,-20.494,-24.99,122.5,73188.0,8.95
172,2003-05-24,-20.494,-24.99,151.9,16128.0,2.87
173,2003-05-24,-20.494,-24.99,253.2,211.3,3.02
174,2003-05-24,-20.494,-24.99,402.6,132.14,5.87
175,2003-05-24,-20.494,-24.99,703.0,0.0,
176,2003-05-24,-20.494,-24.99,1104.4,0.0,
177,2003-05-24,-20.494,-24.99,1505.9,0.0,
178,2003-05-24,-20.494,-24.99,1907.8,0.0,
179,2003-05-24,-20.494,-24.99,2310.5,0.0,
180,2003-05-25,-16.594,-24.99,0.7,121000.0,448.24
181,2003-05-25,-16.594,-24.99,11.3,105000.0,325.03
182,2003-05-25,-16.594,-24.99,26.3,132000.0,469.59
183,2003-05-25,-16.594,-24.99,50.6,144000.0,688.58
184,2003-05-25,-16.594,-24.99,75.5,101000.0,443.08
185,2003-05-25,-16.594,-24.99,90.8,54249.0,2.93
186,2003-05-25,-16.594,-24.99,128.9,23675.0,5.84
187,2003-05-25,-16.594,-24.99,150.0,11440.0,6.06
188,2003-05-25,-16.594,-24.99,176.1,3434.5,2.9
189,2003-05-25,-16.594,-24.99,250.8,177.72,2.96
190,2003-05-26,-13.925999999999998,-25.0,6.9,138000.0,323.06
191,2003-05-26,-13.925999999999998,-25.0,18.1,124000.0,297.78
